Unnamed: 0,meta.movie_name,meta.character_name,meta.gender,text
611,bottle rocket,MAN,m,"no, it's not. come on in! how's the weather down there? no. me no hoto. tecate? you hoto? fight. you know. si. tecate. you like to fight? she is a good looking woman. where's your friend? he go with the chiquita? you a good pool player. you like chicanos? she chicano, yes? is that your chiquita? hello, my friend. you in the army, yes?"
629,braveheart,LEADER,m,then we'll just have a peek at the wounds.  dig 'em up! what it means in england -- and in scotland too -- is that rebels have forfeited their lands. we were ambushed last night. but the scots dragged their dead away. someone dead from this household?
643,the butterfly effect,MRS. BOSWELL,f,"when i asked evan about his drawing, well, he didn't remember doing it. of course. there is one more thing, mrs. treborn. and i feel bad for mentioning it... yesterday i had all the children draw pictures of what they wanted to be when they grew up. most of them made drawings of what their parents did, but this... i was going to show this to the principal, but i wanted to talk to you first. mrs. treborn! i need to speak with you!"
699,the cider house rules,FUZZY,f,"what's an immigrant? did you grow up around here? what's a nanny do? did you know your mother better? but did you know him? *liver* killed him? is *your* father dead? why can't we have pumpkins for christmas, too? we don't get any good presents at christmas, anyway. is that soon? his father's dead, right? that's why kong loves her! homer... doesn't king kong think the woman is his *mother*?"
827,the elephant man,BOY,m,"like this. our man is sick. come right away. i found it. excuse me, mr. treves, sir. don't! what are you going to do? he's sick, bytes. he's going to die. aw, bytes, he's sick."
843,erik the viking,FREYA,?,"that i cannot tell you. the gods are asleep, erik. the sky was blue, erik... once. but have you ever seen it? think back... have you ever seen the sun, erik? is it summer or winter, erik? is it night or day, erik? what do you see, erik? they will make fun of you for listening to an old woman's stories? now what can you want with me, erik the ""viking""?"
857,erik the viking,THORFINN'S MUM,f,"and if you have to kill somebody, kill them! don't stop to think about it. and keep your sword greased. and don't forget: never let your enemy get behind you. and something to sharpen them with? and you've got both axes?"
1164,gladiator,GRACCHUS,m,you're a citizen and a soldier.  not a gladiator. would you support the senate if they would give you a trial?  you'd have to give me your word. how did you get condemned to the arena without a trial? who are you?  narcissus the good?  i have heard of narcissus meridas. that's who i hear you are.
1269,harold and maude,MRS. CHASEN,f,"i think i should mention, candy, that harold does have his eccentric moments. yes, that's good planning. tell me, are you a regular, candy, in this computer club? eh, poli sci? and what are you studying? you are at the university, candy? how do you do. i'm mrs. chasen. come in. she supplies the whole southwest with chicken feed. yes. henderson feed and grain. edith was just telling me about her job. oh. well, what is it exactly that you do? how interesting. and what do you do, my dear? edith, i'd like you to meet my son, harold. harold, this is edith... eh? this way, edith. harold is out by the garage. he has a new car and he has been tuning it up. he's very mechanical. this is insane. harold! you don't care! ""miss shroud of 1890 weds the boy of a thousand deaths!"" listen to me... oh... that's wonderful... i get an eighty-year-old pallbearer for a daughter-in-law! be reasonable, harold! you're dealing with your life! what will people say?! love? love? what do you <u>know</u> about her? where does she come from? where did you meet her? a sunflower? i suppose you think this is very funny, harold. to whom? fay, i'll call you back.  what did you say? harold, please! i'm on the phone. not now, harold...  you can't put me down for monday? well, i want you to go to bed directly after dinner. you know how susceptible you are to colds. harold has always been a delicate child. even as a baby he seemed to be abnormally prone to illness - harold, dear, eat up your beets... of course, harold's father had a similar sense of the absurd. i remember once in paris he stepped out for cigarettes and the next i hear he's arrested for floating nude down the seine - experimenting in river currents with a pair of yellow rubber water wings. well, that cost quite a little bit of ""enfluence"" and ""d'argent"" to hush up, i can tell you. harold, dear, stop playing with your food. don't you feel well?"
1420,the hustler,YOUNG MAN,m,"yeah, i'm quittin'. you better not miss, friend. heads. okay, friend. you're on. you sure you don't want to quit, friend? okay. try me. you wanna raise the bet? two on the five, five on the nine? i guess it's just you and me, huh? how much are you ahead? you quittin' too? okay, friend. a dollar on the five, two on the nine. hi."
1443,independence day,SECOND OFFICER,m,"it's... slowing down, sir. well, er... it's slowing down. no sir. definitely not."
1479,innerspace,WOMAN,f,i didn't say anything. you did. joe no i didn't. you said   something first. i said...i didn't say..anything! nothing. nothing. what's what?
1481,innerspace,RECEPTIONIST.,f,"water fountain's through that door, down the hall. is there anything else? ...mr. athol will be with you as soon as possible. will you be able to wait? i'm sorry. we're running behind. so many applicants...so few jobs... if you'll just have a seat."
1547,it happened one night,ELLIE'S VOICE,f,"i'm hungry. what time is it? yes? oh, by the waywhat's your name? oh, excuse me."
1573,jfk,GARRISON,m,"i can't believe you're saying this in the courtroom. that's our case! jesus, ed, from time immemorial it's been standard booking procedure to ask an alias.  you know that.  there's no constitutional requirement that says a lawyer has to be present for routine questions. what?"
1622,jacob's ladder,WOMAN,f,"if you're lucky. tan? what tan? it faded on the airplane. i'd try to get my money back, but who do you ask?  two hundred dollars a night, for what? hot. where do i sign? that's what i'd like to know. if you see him on the street somewhere, tell him he's fired. i know. that's why i'm asking. how 'bout over there?  no wait. do me a favor. bring 'em to the back room. i no from around here."
1731,lon,MAN,m,"don't fear. ...one second. ...yes? huh? move back, baby, i can't see anything. huh! you made an error, baby.  i don't know any danielle. yes?"
1744,labor of love,FATHER,m,"you don't have to prove anything to her. doubts?  about what? that's a reasonable assumption. most certainly. why? i see. from where? to where? i asked the officers if you had committed some crime... if they had said 'yes', you would be speaking with them right now. if i had seen you.  by the way i'm sorry about your wife.  they told me."
1807,the life of david gale,ABERNATHY,f,"better make it a week. that's my girl. no, nigger. they ain't men, mae rose. they're convicts. and nigger convicts to boot. can you say nigger? it's a boy! well, let's get a look at him. and the baby? is mae rose okay?"
1828,the life of david gale,NURSE HUMPHRIES,f,"you can't go in there, ray! you'll never make it! wait for the firemen! stay calm, ray. we'll find him. claude! has anyone seen claude? is everyone here?"
1848,little nicky,REGIS,m,"i was deniro! recently, yes! so i run up behind this guy, and start bashing his brains in with this bat, and it made me feel happy! did you ever see the untouchables? i followed him all the way downtown, and when he gets out of the car, i reach under my seat and pull out an aluminum bat. so i followed him... so i was driving to work today, and some bozo in a cadillac cut me off..."
1865,logan's run,MAN,m,"no -- just there -- on the first level.  don't look for us. we'll see you. too little?  too little. okay, wait for me. cheeks? cheeks? right. too much, you think? well? how do you like it?"
1989,man on fire,SISTER ANNA,f,"[the bible says, ""be not overcome of evil, but overcome evil with good.""] [do you ever see the hand of god in what you do?] [no offense, but i'm sorry that your profession needs to exist.] [she's late, mr. creasy.]"
2054,metro,BAFFERT,m,"i'll take half of your action. what's the line? nah, it probably won't turn up anything. i'm just gonna talk to him. apartment 306. come on. just get in. we gotta go. where's the stereo? don't give up on her. you're getting to the age when you ought to be thinking about these things. no shit! he's good! speaking of which. i saw you talking to ronnie this morning. why can't you get it back together with her. you've gotta be out of your mind not to get with that one. this swat guy might be a good idea. he may be able to take a little pressure off you. i worry about you. i still gotta do it. wasting time is half my job. mind if we make a stop on the way? we busted frank antonucci on possession. he gave us a lead on that polk street jewelry heist. dinner's on you. floor seats. maybe we can get a throw phone in there. not that we know of. i don't know. no -- you can't do that. swat wants to go in. hello, roper. glad you could join us. this cousin of yours... what's his name? could i please have a little water? i've got to stop in there... mr. korda, do you know frank antonucci? where did you find an old recording like that? yeah... yeah... now i can hear it. may i come in? i would just like to ask you a couple of questions. it's lieutenant sam baffert from the san francisco police department."
2270,nick of time,CABBIE,?,"oh, yeah? the grave. somebody close? somebody close? aw, too bad. better in san diego? more opportunity there? what? 's okay. what do you think? oh, san diego? i've thought about moving to san diego.  it's hard to make a living in this town. these short hops.  can't make a dime on 'em. to lax, pasadena, then i can make a buck. these little hops cost me money. where'd you come from? business or pleasure? you just come in on amtrack? amtrack? where to, sir?"
2344,nixon,STUDENT 2,m,"come on, man -- vietnam ain't germany. it doesn't threaten us.  it's a civil war between the vietnamese. what you have to understand, mr. nixon, is that we are willing to die for what we believe in. ernie davis. syracuse. you're shittin' me."
2357,no country for old men,MOTHER,f,well i didn't see it. i didn't see my prednizone. three years ago i said them very words. no and good.
2429,panther,BOBBY SEALE,m,"no more police brutality! what do we want? sure, those boojie jokers don't do anything except print up a lotta paper saying ""black is beautiful."" what's up? huey!! man you gotta check this out... you're gonna love..."
2449,the patriot,CONTINENTAL SERGEANT,m,"we did. first virginia regulars under colonel hamilton. yes, sir."
2505,pleasantville,BOY,m,"""it was big 'n brown 'n kept goin' an' goin' as far you could see."" what is it? what's outside of pleasantville? and where's that? how'd you know how to put it out and all? how'd you know about the fire?"
2524,punch-drunk love,OPERATOR VOICE,?,it takes time to process -- i'm sorry. it takes that much time to process the order and make sure it's valid --
2657,serial mom,DET. BRADFORD,m,"goddamn you! that's trespassing! ""p"" as in... did you drive your car to the pta meeting yesterday, mrs. sutphin? contusions... fractures... rupture of numerous vital organs... sorry, ma'am.  we're investigating obscene phone calls and mail threats to a certain mrs. dottie hinkle."
2905,star trek: generations,DEMORA,f,"there's some buckling on the starboard nacelle.  we've also got a hull breach in the engineering section. emergency forcefields are in place and holding. deck 15, section 21-alpha. we're within range, sir. we're within visual range of the energy distortion, captain. the ships are bearing at 3-1-0 mark 2-1-5. distance: three light years."
2975,star trek: insurrection,PICARD'S COM VOICE,m,"very good, doctor. picard out. are they in any danger? and our people?"
2989,star trek: insurrection,SON'A OFFICER #2,m,"they must have been locked and secured after we were beamed here. all ship functions are off-line. sir, i am not showing any change in metaphasic flux levels... activating injector assembly."
3079,swingers,ANSWERING MACHINE,?,"you're money, baby. don't do it, mike. you should call your grandmother. are you calling her? you really should. life, after all, is really just a series of challenges... that's because it was a challenge. you has control over you're situation. it was hard, but you rose to it. moving here from new york was much more of an adjustment than this. ever since i've known you. you've been through worse. you have to put things in perspective. michael, this is grandma. i want to know if you got the part on that television program. i told the whole family and they're very excited to know if...  skipping message. end of final message."
3143,the rock,SANCHEZ,m,"name your vacation spot, goodspeed. the bureau'll pay for it. what do you have, a fucking water pistol?  get him back! don't let him do that. what is happening?  where's mason? spit it out. you're not wimping out on us, goodspeed. maybe.  not really. no."
3180,the body snatcher,MRS. MARSH,f,"it is a pity. it's not because of georgina -- because of dr. macfarlane's failure? good morning, mr. fettes. -- pain -- and shock.  she's brave enough, but i don't know about myself.  now that it seems so close, i wonder if i dare trust my child into any but god's hands. maybe he knows best. you have his promise, then? ask this one favor -- did he tell you about georgina? georgina told me how kind you were to her.  it gave me hope you might intercede for us with dr. macfarlane. i want you to help my little girl. she would if she could. i'm sorry, doctor.  georgina's a good child -- a brave child -- you saw how she was during the operation -- but if she can't move, she can't move. there's nothing i can say for one small child? but, doctor, surely in a case like this -- a child -- a little child who can never walk or run -- but can anything be done for her? three years. a carriage overturned.  my husband was killed and georgina was hurt. it comes at intervals.  they used to be months apart -- but they've been growing more frequent --  much more frequent. yes, doctor. nearly a year. no, doctor.  she seemed to get better, then about six months later she began to complain of pain in her back --"
3228,the thing,FUCHS,m,right.  why not? started with six.  there'd be four others left. 'bout eighty kilos southwest. gotta be from the norwegian camp.
3299,thirteen days,MCCONE,m,"it's transparent. the press'll be all over it. my specialists are in agreement: this morning's letter is not khruschev. last night's letter was.  the evidence supports only one conclusion: there has been a coup, and khruschev was replaced overnight. that may be what they want us to think. why else would they approach us in this way? it's deniable. the soviets have done nothing but lie to us. this could be more of the same."
3356,true believer,BALLISTICS EXPERT,?,"absolutely not. no more than seven percent. it most certainly is. no it is not, mr. dowd. absolutely. correct. true."
3466,white squall,COMMANDER,m,that is unfortunate.  we'll have to take him with us. stow away? but you invited is aboard. chicken is a fool's game captain.
3631,all the president's men,MCCORD,m,the c.i.a. ...central... intelligence... agency... government. recently retired. security consultant. james mccord.
3635,all the president's men,SWEET OLD LADY,f,i'm not miss abbott. the what to what? --i already get the post. i don't need another subscription.
3661,an american werewolf in paris,LEDUC,m,"my men think you died and floated away in the seine. if i wanted to, i could let them believe that.  but that would be illegal... i always wanted to do that. i saw it in a movie. i leave these open. maybe something comes back to you. merde... wait here. when i return you tell me about last night, huh? he was a good man. now his wife is a widow. that's not all...  marcel - officer boulard was following you. we know you were with her. you recognize her? i can't! at midnight tonight, he will kill again. it's crazy! i told you. these murders are not normal. i'm telling you. it's not drugs. it's something more. someth - now! i need two tactical assault squads at place denfert immediately. you can tell the commissioner it's a code red. what did she say? what've you got? what, you think everyone's as ignorant as you? you never heard the story of saint severin driving the werewolves from paris? you better follow that mcdermott kid. he's going to wind up like his uncle if he's not careful. two more nights in this lunar cycle. twelve thirty-six a.m. here. twelve forty a.m. here. there's two of them. at least. hmmph. at least now there's one person around here who doesn't think i'm crazy. well? here. merde."
3680,annie hall,ACTRESS,f,"you're like new york. you're an island. alvy, you are totally incapable of enjoying life. well, you only give me books with the word ""death"" in the title. what is so incredibly great about new york? it's a dying city! you-you read ""death in venice""."
3797,assassins,WOMAN,f,"electra -- jesus!  why didn't you tell me? god damnit, electra.  this is not a game.  this is business. the point is, they are paying for information.  real information.  not tooth paste brands.  not whether he wads of folds his toilet paper.  and no 16 hours of recorded phone sex. you are wasting everyone's time with this shit."
3861,the adventures of buckaroo banzai across the 8th dimension,JOHN O'CONNOR,m,but john whorfin said kill her. you look!  it's not here! not here!  no overthruster! i have a radio fix... what? a black ship?  where?  a black thermopod's been shot down ten miles back.
4010,being there,DUPONT,m,"i'm sorry to say that our time is running short, but before we close, i'd like to ask one final question. what sort of gardener, sir, would you be? well, mr. gardiner, from the sound of our audience, i'd say that your words are a most welcome respite from what we've been hearing from others... don't we need a leader capable of guiding us through the seasons? the bad as well as the good? well, let me rephrase the question; the president compared the economy of this country to a garden, and stated that after a period of decline a time of growth would naturally follow. do you go along with this belief? i know that, mr. gardiner. come now, mr. gardiner, before his speech at the financial institute the president consulted with you and benjamin rand, did he not? fine, then let's get started. the current state of our country is of vital interest to us all, and i would like to know if you agree with the president's view of the economy? yes... of course, you know, mr. gardiner, that i always prefer an open and frank conversation with my guests, i hope you don't object to that. ... well, your anonymity will be a thing of the past from now on. i always find it surprising, mr. gardiner, to find men like yourself, who are working so intimately with the president, yet manage to remain relatively unknown. i'd like to thank you for filling in on such short notice for the vice president. mr. gardiner, how very nice to have you with us this evening."
4050,the big lebowski,BLOND MAN,m,"you're not dealing with morons here. and we know which lebowski you are, lebowski. what do you think? wasn't this guy supposed to be a millionaire?"
4237,brazil,GIRL,f,"do you mind if i use your bathroom? yes, i know. it's the backlog, everybody complains. was it all right otherwise? you don't have to sing it. it's reply paid."
4249,brazil,MRS BUTTLE,f,"he hadn't done anything ... he was good ... what have you done with his body? what have you done with his body? my husband's dead, isn't he? mistake?"
4297,buffy the vampire slayer,AMILYN,f,"i don't know.  but the boy, he couldn't kill them. i look horrible. i had him in my grasp. my arm!  he took my fucking arm! i don't think this is gold."
4371,casino,TONY DOGS,m,"kill me, you fuck, kill me. charlie m. ch-charlie m! fuck you!"
4396,cellular,LENORE'S VOICE,f,"don't leave me here to die -- theo, please -- you can't let me die -- oh god -- oh no -- help me -- don't let me -- die. you mustn't hang up. thank god -- thank god i've got you."
4400,cellular,TRUCKER,?,you sure know how to take a lot of punishment. who the fuck you kidding?  send me money! the 405 is coming up. i thought so. what kind of treasury dept. business is this? government business? doesn't everybody? i already called for an ambulance.
4510,citizen kane,THE PRESIDENT,f,"you've made your point perfectly clear, mr. kane.  good day. i understand that you have political ambitions.  unfortunately, you seem incapable of allowing any other opinion but your own - i know the facts, mr. kane.  and i happen to have the incredible insolence to differ with you as to what they mean.  you're a man of great talents, mr. kane. i must refuse to allow you to continue in this vein, mr. kane. it is the unanimous opinion of my cabinent - in which i concur - that the proposed leases are in the best interests of the governement and the people.  you are not, i hope, suggesting that these interests are not indentical?"
4534,clerks,MAN,m,"it stings a little. thanks. i thought i was gonna have to go to the hospital. they oughta put some kind of warning on these cans, like they do with cigarettes. usually i just turn the can upside down."
4536,clerks,GIRL 1,f,"did he say ""making fuck?"" that doesn't sound metal. what did he say? no way! he only speaks russian? no way. he's your cousin? scumbag. what are you doing?"
4588,collateral,MAN,m,"...what do you want me to do, punch him out?  i have to work with him... ...i'm sorry, i don't see it that way... ...why is everything always about you..."
4589,conspiracy theory,COP,?,"all i know is, they said to send you and the body to the basement. the f.b.i., the c.i.a.  you name the initials and they're down there. they said send you downstairs. guy came in with a gunshot wound, but he died of a heart attack.  go figure."
4597,conspiracy theory,OPERATOR,?,"go ahead, miss sutton. yes. the office is closed for the evening. is this an emergency? federal bureau of investigation."
4607,contact,LUNACHARSKY,m,"i don't know.  maybe there is a fourth layer in there somewhere, but if there is, i sure as hell can't find it. no primer. we've repeated.  a few minutes ago the message cycled back to page one. there's no way of knowing.  without a key -- a primer, to help us, maybe never. in ancient times when parchment was in short supply people would write over old writing... it was called a palimpsest. analyzing signal polarization shifts."
4690,the crow,TORRES,m,"what in the hell... do you call that? and you're gonna tell me who. was. albrecht  this isn't top dollar's style anyway.  this was somebody else. somebody new. don't any of your little pals have real, grown up names? you know, you sure got a hard-on for a guy that's guilty of zip on paper.  top dollar runs showtime; what's the matter, don't you like adult entertainment?"
4703,the crow,T-BIRD,m,"yeah, i know, fatso.  do us all a favor.  make top dollar smile. leather purse... ...necklace... pearls... coupla more rings... 24k. whoa, hey, whoa.  business."
4716,cruel intentions,MRS. SUGERMAN,f,oh... no thank you... excuse me? i did? we played backgammon? i did? did i ever tell you the time when my late husband sent me -
4796,deep rising,VIVO,m,i'm looking... i'm not screwing around with you man...i hate the cold water. hey! you hear me? come out! hey! come out here! nothing. maybe plans changed... like mamooli's country... you mean countries that are acknowledged by the un...or like made up countires too?
4806,the deer hunter,LIEUTENANT,m,"i will not betray my country. no. ne-ver! that i must not tell you. top secret. you see there. topmost secret. please! please mister, please! this is vital i go to saigon. this is very important. most important. biederman, yes. here."
4811,the deer hunter,VET 2,m,up. down ribbon! down i would say... what would you say? up.
4824,demolition man,WHORE,?,"papers.  last medcheck two weeks ago. a-1.  disease free.  guaranteed by the state. you could always take it off. funny.  would you like to buy me a drink? haven't seen you around.  where have you been all my life, handsome? hi."
4991,l.a. confidential,BOXER,m,"you wanna get me a fuckin' snitch jacket? till 19-fucking-70. what do you want, mr. policeman? what's it to you?"
5006,l.a. confidential,YOUNG OFFICER,m,"of his penis, sir? with tinsel and plastic icicles and... on his penis, sir. a guy dressed as santa has been exposing himself to kids in los feliz.  apparently, sir, he's decorated himself."
5100,star wars: the empire strikes back,CREATURE,f,"oh, your father ... a powerful jedi was he, powerful jedi. not far, not far.  be patient. soon you will see him.  why wish you become a jedi? it's the jedi's time to eat, too. patience.  it's time to eat. of course, yes.  but now eat we must.  good food, i have good food.  come, come. oh, a jedi master.  different altogether.  yoda you seek, yoda. no, no!  i'll stay and help you find your friend. mine, mine. mudhole?  slimy?  my home this is. mine!  mine!  or i'll help you not. can't get your ship out?  have you tried?  have you tried? a great warrior?  not many on those.  wars don't make one great. help you i can ... yes ... yes. looking?  looking?  you've found someone i'd say.  heh?  yes! away put your weapon.  i mean you no harm."
5239,fargo,YOUNGER MAN,m,"sure, jerry, we're all set. why wouldn't we be? yeah, okay. well, siddown then.  i'm carl showalter and this is my associate gaear grimsrud. ya got the car? we been sitting here an hour.  i've peed three times already. shep said you'd be here at 7:30. what gives, man?"
5291,rambo: first blood part ii,KIRKHILL,m,"that's right. i didn't know you were a stick man, rambo. don't look so disappointed.  it should be hairy enough... even for you. negative.  absolutely not.  the phase two assault team will get them out. this operation is in two phases. recon and rescue.  you are phase one.  your two-man team will probe the site, confirm the presence of american pows, if any, make photographic and tactical observations, then proceed to the extraction point without engaging the enemy. memo e-7 on top will cover the details.  an abandoned vietnamese army base in the north-central highlands may have a compound used as an internment camp.  as you can see the intelligence is soft.  these landsat photos show huts... barracks.  it could be anything. not yet. we like you.  at least the computer at langley likes you.  pulled your file because of various factors.  service record. area familiarity. classic special forces op... hit fast... in and out.  two men.  two days. i'm authorized to get you out of here.  i thought that's what you wanted. what? christ almighty. what? typical... he's giving them a run for their money.  says here they've got two hueys from danang.  i didn't know those dinks had hueys. what that? you're out of your depth, trautman. way out.  i'm acting correctly here. not you.  not your gung-ho jungle ace.  it's over.  walk away. of course not.  you can't get approval to rescue a kitten from a tree after tehran. that's a crock.  we don't say that. do you have any idea the shitstorm if he'd gotten back with that guy? if it went public?  the white house would have to act through channels. we're talking ransom.  four billion bucks in war reparations to vietnam to get the others back.  that's billion, colonel.  with a ""b"".  for a few guys that've had their brains in a blender for ten years?  a pain in the ass to everybody?  no way. there's no way. it was clean.  very clean... rambo was a decorated vietnam vet, a former pow himself... if he came out and said ""no pows"" the sub-committee would buy it.  he gets himself caught he's a private citizen, a whacko, acting on his own.  if he gets proof, it gets lost somewhere between here and d.c.  airtight. but no... rambo's gotta be a hero. thinks he's starring in his own war movie or something.  he put me in a corner.  no choice. word came down... they wanted an answer.  and they knew the answer they wanted: no pows.  but it had to look good.  best effort.  the whole dog-and-pony show. look, it was a screw-up, alright? they weren't supposed to find anything.  we thought that camp was empty. you think i'm some whacko?  i like to hurt people?  i'm doing a job here.  if i knew what's right or wrong i'd be a goddamned priest, right?  so i follow directives... i do what i'm told.  it's simple.  if your boy had done what he was told, there wouldn't be a problem. look, colonel... we're all adults here.  this is a war.  a very quiet, very intense war.  people get sacrificed. have fun. that's a pretty hairy ride.  full colonels are supposed to be above that sort of thing. it's not necessary. what's up? the league of families leans on congress.  then they lean on us. like we don't have enough to worry about in a dozen dirtwater countries.  damnit! pows?  i don't know.  but either way it'll get that subcommittee off our necks.  cream? couple hours.  let me buy you a coffee. about 22 hours on site."
5385,frequency,SUPERVISOR,m,"there's a manhole at canal and bowery. we tried.  bulkhead door's rusted shut. won't budge. wish i was.  oldest part of the system down there.  we're on it, but it's gonna take awhile. switches are shorted out."
5524,the godfather: part ii,TESSIO,m,he's going to kill fanucci. what can we do? what if we don't pay? do you think he'd be satisfied with the two hundred dollars?  i think he would. what took so long?
5594,good will hunting,ALL,?,no way! you're kiddin'! oh shit. what? come on! yeah.
5636,the grapes of wrath,THE MAN,m,"brother, i don't know. if i did i'd tell you. but i just don't know *who's* to blame! it ain't nobody. it's a company. now don't go blaming me. it ain't *my* fault. i can't help that. all i know is i got my orders. they told me to tell you you got to get off, and that's what i'm telling you. fact of the matter, muley, after what them dusters done to the land, the tenant system don't work no more. it don't even break even, much less show a profit. one man on a tractor can handle twelve or fourteen of these places. you just pay him a wage and take *all* the crop."
5699,halloween 4: the return of michael myers,COP,m,"i've seen bodies thrown 50-60 feet from a crash site. it's hard to tell, there all chewed up. yes, sir. sometime in the night. they probably lost the road in the storm. come down the embankment. it happens."
5718,halloween,SISTER,f,promise? will you call me tomorrow? michael's around someplace... my parents won't be back till ten.
5761,hannibal,RICCI,?,"it would seem. ...a dr. fell.  a brazilian, i think. applying for fanelli's post. dottore fanelli... they're grilling the applicant for the vacant post."
5896,hotel rwanda,LIEUTENANT,m,"i will remember that name.  let's go. don't lie to me. what's your name? who did you call? you don't have time. if i do not have the names, so that i can pick out the traitors, then i will kill everyone here in this car park. get in there now. are you trying to make a fool of me? there are no europeans left in that hotel. get me the names of all the cockroaches in there. anderson, arthurs, boulier. what is this? it's an order. get everyone out now. everyone must leave the hotel now. you are the manager?"
5916,house on haunted hill,VOICE,?,-- something horrible...i don't understand -- something....happened -- sara...? for the love of god....please...? please.....anyone....help me? over here.
5992,insomnia,FARRELL,m,"we'll get the other one, though. oh, you know.  don't feel that much. bullet went right through. what i saw? we just gotta catch the bastard, right? i wish i'd had the chance to get to know him better.  take him fishing or something. sorry about..."
6025,it's a wonderful life,POTTER,m,"so i suppose i should give it to miserable failures like you and that idiot brother of yours to spend for me. are you running a business or a charity ward? then foreclose! well, you're begging, and that's a whole lot worse. yes . . . how much is your equity in it? i see. i've suddenly become quite important. what kind of security would i have, george? have you got any stocks? well, what about all your other friends? not that it makes any difference to me, but why did you come to me? why don't you go to sam wainwright and ask him for the money? what is it  a woman, then? you know, it's all over town that you've been giving money to violet bick. have you notified the police? in the meantime, i'll draw up the papers. sure, sure, sure. you go on home and talk about it to your wife. oh, confound it, man, are you afraid of success? i'm offering you a three year contract at twenty thousand dollars a year, starting today. is it a deal or isn't it? oh, yes, george bailey. whose ship has just come in  providing he has brains enough to climb aboard. you wouldn't mind living in the nicest house in town, buying your wife a lot of fine clothes, a couple of business trips to new york a year, maybe once in a while europe. you wouldn't mind that, would you, george? the envious ones say that, george, the suckers. now, i have stated my side very frankly. now, let's look at your side. young man, twenty-seven, twenty-eight . . . married, making, say . . . forty a week. you like it? i'll send you a box. i'm not interested in your book. i'm talking about the building and loan. you see, if you shoot pool with some employee here, you can come and borrow money. what does that get us? a discontented, lazy rabble instead of a thrifty working class. and all because a few starry-eyed dreamers like peter bailey stir them up and fill their heads with a lot of impossible ideas. now, i say . . . they're not my children. have you put any real pressure on those people of yours to pay those mortgages?"
6108,the jazz singer,MOTHER,f,"oh, no. i wouldn't go ... yeah? no, jakie, no. i-i-i- oh no-- what? yes."
6190,king kong,MR GINTING,m,"man eater!!! we are a very modest and deeply religious people, mr denham. native costume? the mountains? you are most kind. we will be proud to assist you! we offer ourselves at your service, mr denham!"
